UniProtAccession,UniProtID,EntryType,GeneSymbol,GeneSynonyms,ProteinName,Function,DiseaseAssociations,SubcellularLocation,TissueSpecificity,PathwayAnnotation,Keywords,Domains,BindingSites,ActiveSites,AlphaFoldID,PDB_IDs,DrugBankIDs,ChEMBL_IDs,KEGG_IDs,ReactomePathways,SequenceLength,MolecularWeight,Organism
Q96PN8,TSSK3_HUMAN,reviewed,TSSK3,SPOGA3|STK22C,Testis-specific serine/threonine-protein kinase 3,Serine/threonine protein kinase required for spermatid development and male fertility,,"Cell projection, cilium, flagellum",,,ATP-binding|Cell projection|Cilium|Developmental protein|Differentiation|Flagellum|Kinase|Magnesium|Metal-binding|Nucleotide-binding|Phosphoprotein|Proteomics identification|Reference proteome|Serine/threonine-protein kinase|Spermatogenesis|Transferase,Protein kinase [10-265], [16-24]| [39-39],Proton acceptor [134-134],Q96PN8,,,CHEMBL3414416,hsa:81629,,268,30102,Homo sapiens
Q6SA08,TSSK4_HUMAN,reviewed,TSSK4,C14orf20|STK22E|TSSK5,Testis-specific serine/threonine-protein kinase 4,Serine/threonine kinase which is involved in male germ cell development and in mature sperm function (By similarity). May be involved in the Cre/Creb signaling pathway (By similarity). Phosphorylates CREB1 on 'Ser-133' in vitro and can stimulate Cre/Creb pathway in cells (PubMed:15964553). Phosphorylates CREM on 'Ser-116' in vitro (By similarity). Phosphorylates ODF2 on 'Ser-95' (By similarity),,"Cytoplasmic vesicle, secretory vesicle, acrosome; Cell projection, cilium, flagellum",Expressed only in the testis,,Alternative splicing|ATP-binding|Cell projection|Cilium|Cytoplasmic vesicle|Developmental protein|Differentiation|Flagellum|Kinase|Magnesium|Metal-binding|Nucleotide-binding|Phosphoprotein|Proteomics identification|Reference proteome|Serine/threonine-protein kinase|Spermatogenesis|Transferase|Ubl conjugation,Protein kinase [25-293], [31-39]| [54-54],Proton acceptor [148-148],Q6SA08,,,CHEMBL4295868,hsa:283629,,328,37454,Homo sapiens
P02766,TTHY_HUMAN,reviewed,TTR,PALB,Transthyretin,Thyroid hormone-binding protein. Probably transports thyroxine from the bloodstream to the brain,"Amyloidosis, hereditary systemic 1 (AMYLD1)|Hyperthyroxinemia, dystransthyretinemic (DTTRH)|Carpal tunnel syndrome 1 (CTS1)",Secreted; Cytoplasm,Detected in serum and cerebrospinal fluid (at protein level). Highly expressed in choroid plexus epithelial cells. Detected in retina pigment epithelium and liver,,3D-structure|Amyloid|Amyloidosis|Cytoplasm|Direct protein sequencing|Disease variant|Gamma-carboxyglutamic acid|Glycoprotein|Hormone|Neuropathy|Phosphoprotein|Proteomics identification|Reference proteome|Secreted|Signal|Sulfation|Thyroid hormone|Transport,, [35-35]| [74-74]| [137-137],,P02766,1BM7|1BMZ|1BZ8|1BZD|1BZE|1DVQ|1DVS|1DVT|1DVU|1DVX|1DVY|1DVZ|1E3F|1E4H|1E5A|1ETA|1ETB|1F41|1F86|1FH2|1FHN|1G1O|1GKO|1ICT|1III|1IIK|1IJN|1QAB|1QWH|1RLB,DB07201|DB07176|DB07047|DB06935|DB02417|DB07694|DB08101|DB08103|DB08100|DB06907|DB08207|DB04756|DB04674|DB07775|DB07753,CHEMBL3194,hsa:7276,R-HSA-2453902:The canonical retinoid cycle in rods (twilight vision)|R-HSA-3000171:Non-integrin membrane-ECM interactions|R-HSA-6798695:Neutrophil degranulation|R-HSA-975634:Retinoid metabolism and transport|R-HSA-977225:Amyloid fiber formation|R-HSA-9918449:Defective visual phototransduction due to STRA6 loss of function,147,15887,Homo sapiens
Q71U36,TBA1A_HUMAN,reviewed,TUBA1A,TUBA3,Tubulin alpha-1A chain,"Tubulin is the major constituent of microtubules, a cylinder consisting of laterally associated linear protofilaments composed of alpha- and beta-tubulin heterodimers. Microtubules grow by the addition of GTP-tubulin dimers to the microtubule end, where a stabilizing cap forms. Below the cap, tubulin dimers are in GDP-bound state, owing to GTPase activity of alpha-tubulin",Lissencephaly 3 (LIS3),"Cytoplasm, cytoskeleton; Cytoplasm, cytoskeleton, flagellum axoneme",Expressed at a high level in fetal brain,,3D-structure|Acetylation|Alternative splicing|Cell projection|Cilium|Cytoplasm|Cytoskeleton|Direct protein sequencing|Disease variant|Flagellum|GTP-binding|Hydrolase|Isopeptide bond|Lissencephaly|Magnesium|Metal-binding|Methylation|Microtubule|Nitration|Nucleotide-binding|Phosphoprotein|Reference proteome,, [11-11]| [71-71]| [71-71]| [140-140]| [144-144]| [145-145]| [179-179]| [206-206]| [228-228], [254-254],Q71U36,5JCO|6J8F|6WSL|7C1M|7UN1|7UNG|8J07|8SH7,DB07574|DB00518|DB11638|DB15534|DB05147|DB01873|DB00643|DB03010|DB12695|DB00570,CHEMBL3661,hsa:7846,R-HSA-1445148:Translocation of SLC2A4 (GLUT4) to the plasma membrane|R-HSA-190840:Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane|R-HSA-190861:Gap junction assembly|R-HSA-2132295:MHC class II antigen presentation|R-HSA-2467813:Separation of Sister Chromatids|R-HSA-2500257:Resolution of Sister Chromatid Cohesion|R-HSA-2565942:Regulation of PLK1 Activity at G2/M Transition|R-HSA-3371497:HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand|R-HSA-380259:Loss of Nlp from mitotic centrosomes|R-HSA-380270:Recruitment of mitotic centrosome proteins and complexes|R-HSA-380284:Loss of proteins required for interphase microtubule organization from the centrosome|R-HSA-380320:Recruitment of NuMA to mitotic centrosomes|R-HSA-389957:Prefoldin mediated transfer of substrate to CCT/TriC|R-HSA-389960:Formation of tubulin folding intermediates by CCT/TriC|R-HSA-389977:Post-chaperonin tubulin folding pathway|R-HSA-437239:Recycling pathway of L1|R-HSA-5610787:Hedgehog 'off' state|R-HSA-5617833:Cilium Assembly|R-HSA-5620912:Anchoring of the basal body to the plasma membrane|R-HSA-5620924:Intraflagellar transport,451,50136,Homo sapiens
Q9BVA1,TBB2B_HUMAN,reviewed,TUBB2B,,Tubulin beta-2B chain,"Tubulin is the major constituent of microtubules, a cylinder consisting of laterally associated linear protofilaments composed of alpha- and beta-tubulin heterodimers (PubMed:23001566, PubMed:26732629, PubMed:28013290). Microtubules grow by the addition of GTP-tubulin dimers to the microtubule end, where a stabilizing cap forms. Below the cap, tubulin dimers are in GDP-bound state, owing to GTPase activity of alpha-tubulin. Plays a critical role in proper axon guidance in both central and peripheral axon tracts (PubMed:23001566). Implicated in neuronal migration (PubMed:19465910)","Cortical dysplasia, complex, with other brain malformations 7 (CDCBM7)","Cytoplasm, cytoskeleton",High expression in brain,,3D-structure|Acetylation|Cytoplasm|Cytoskeleton|Direct protein sequencing|Disease variant|GTP-binding|Intellectual disability|Isopeptide bond|Magnesium|Metal-binding|Methylation|Microtubule|Neurogenesis|Nucleotide-binding|Phosphoprotein|Proteomics identification|Reference proteome|Ubl conjugation,, [11-11]| [69-69]| [69-69]| [138-138]| [142-142]| [143-143]| [144-144]| [204-204]| [226-226],,Q9BVA1,6E7C|7ZCW,DB07574|DB05147,CHEMBL2095182,hsa:347733,R-HSA-1445148:Translocation of SLC2A4 (GLUT4) to the plasma membrane|R-HSA-190840:Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane|R-HSA-190861:Gap junction assembly|R-HSA-2132295:MHC class II antigen presentation|R-HSA-2467813:Separation of Sister Chromatids|R-HSA-2500257:Resolution of Sister Chromatid Cohesion|R-HSA-3371497:HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand|R-HSA-380320:Recruitment of NuMA to mitotic centrosomes|R-HSA-389957:Prefoldin mediated transfer of substrate to CCT/TriC|R-HSA-389960:Formation of tubulin folding intermediates by CCT/TriC|R-HSA-389977:Post-chaperonin tubulin folding pathway|R-HSA-437239:Recycling pathway of L1|R-HSA-5610787:Hedgehog 'off' state|R-HSA-5617833:Cilium Assembly|R-HSA-5620924:Intraflagellar transport|R-HSA-5626467:RHO GTPases activate IQGAPs|R-HSA-5663220:RHO GTPases Activate Formins|R-HSA-6807878:COPI-mediated anterograde transport|R-HSA-6811434:COPI-dependent Golgi-to-ER retrograde traffic|R-HSA-6811436:COPI-independent Golgi-to-ER retrograde traffic,445,49953,Homo sapiens
Q9BUF5,TBB6_HUMAN,reviewed,TUBB6,,Tubulin beta-6 chain,"Tubulin is the major constituent of microtubules, a cylinder consisting of laterally associated linear protofilaments composed of alpha- and beta-tubulin heterodimers. Microtubules grow by the addition of GTP-tubulin dimers to the microtubule end, where a stabilizing cap forms. Below the cap, tubulin dimers are in GDP-bound state, owing to GTPase activity of alpha-tubulin","Facial palsy, congenital, with ptosis and velopharyngeal dysfunction (FPVEPD)","Cytoplasm, cytoskeleton","Ubiquitous. Maximal expression in breast and lung, where it represents around 10% of all beta-tubulins. Largely decreased expression in most cancerous tissues",,Cytoplasm|Cytoskeleton|Disease variant|GTP-binding|Isopeptide bond|Magnesium|Metal-binding|Microtubule|Nucleotide-binding|Phosphoprotein|Proteomics identification|Reference proteome,, [11-11]| [69-69]| [69-69]| [138-138]| [142-142]| [143-143]| [144-144]| [204-204]| [226-226],,Q9BUF5,,DB11638|DB05147,CHEMBL2095182,hsa:84617,R-HSA-1445148:Translocation of SLC2A4 (GLUT4) to the plasma membrane|R-HSA-190840:Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane|R-HSA-190861:Gap junction assembly|R-HSA-2132295:MHC class II antigen presentation|R-HSA-2467813:Separation of Sister Chromatids|R-HSA-2500257:Resolution of Sister Chromatid Cohesion|R-HSA-3371497:HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand|R-HSA-380320:Recruitment of NuMA to mitotic centrosomes|R-HSA-389957:Prefoldin mediated transfer of substrate to CCT/TriC|R-HSA-389960:Formation of tubulin folding intermediates by CCT/TriC|R-HSA-389977:Post-chaperonin tubulin folding pathway|R-HSA-437239:Recycling pathway of L1|R-HSA-5610787:Hedgehog 'off' state|R-HSA-5617833:Cilium Assembly|R-HSA-5620924:Intraflagellar transport|R-HSA-5626467:RHO GTPases activate IQGAPs|R-HSA-5663220:RHO GTPases Activate Formins|R-HSA-6807878:COPI-mediated anterograde transport|R-HSA-6811434:COPI-dependent Golgi-to-ER retrograde traffic|R-HSA-6811436:COPI-independent Golgi-to-ER retrograde traffic,446,49857,Homo sapiens
P10599,THIO_HUMAN,reviewed,TXN,TRDX|TRX|TRX1,Thioredoxin,ADF augments the expression of the interleukin-2 receptor TAC (IL2R/P55),,Nucleus; Cytoplasm; Secreted,,,3D-structure|Acetylation|Activator|Allergen|Alternative splicing|Cytoplasm|Direct protein sequencing|Disulfide bond|Electron transport|Nucleus|Proteomics identification|Redox-active center|Reference proteome|S-nitrosylation|Secreted|Transcription|Transcription regulation|Transport|Ubl conjugation,Thioredoxin [2-105],,Nucleophile [32-32]|Nucleophile [35-35],P10599,1AIU|1AUC|1CQG|1CQH|1ERT|1ERU|1ERV|1ERW|1M7T|1MDI|1MDJ|1MDK|1TRS|1TRU|1TRV|1TRW|2HSH|2HXK|2IFQ|2IIY|3E3E|3KD0|3M9J|3M9K|3QFA|3QFB|3TRX|4LL1|4LL4|4OO4,DB14511|DB12695|DB05448,CHEMBL2010624,hsa:7295,R-HSA-2559580:Oxidative Stress Induced Senescence|R-HSA-3299685:Detoxification of Reactive Oxygen Species|R-HSA-499943:Interconversion of nucleotide di- and triphosphates|R-HSA-5628897:TP53 Regulates Metabolic Genes|R-HSA-5676934:Protein repair|R-HSA-844456:The NLRP3 inflammasome|R-HSA-9617629:Regulation of FOXO transcriptional activity by acetylation|R-HSA-9660826:Purinergic signaling in leishmaniasis infection|R-HSA-9818027:NFE2L2 regulating anti-oxidant/detoxification enzymes,105,11737,Homo sapiens
P62987,RL40_HUMAN,reviewed,UBA52,UBCEP2,Ubiquitin-ribosomal protein eL40 fusion protein,"Component of the 60S subunit of the ribosome (PubMed:23169626, PubMed:23636399, PubMed:32669547, PubMed:39048817, PubMed:39103523). Ribosomal protein L40 is essential for translation of a subset of cellular transcripts, and especially for cap-dependent translation of vesicular stomatitis virus mRNAs (PubMed:23169626, PubMed:23636399, PubMed:32669547, PubMed:39048817, PubMed:39103523)",,Cytoplasm,,,3D-structure|ADP-ribosylation|Cytoplasm|Direct protein sequencing|Isopeptide bond|Methylation|Nucleus|Phosphoprotein|Proteomics identification|Reference proteome|Ribonucleoprotein|Ribosomal protein|Ubl conjugation,Ubiquitin-like [1-76],,,P62987,2LJ5|2MBH|2MJB|2MUR|2N3U|2N3V|2N3W|2NBD|2NBE|2RSU|4HJK|4JIO|4P4H|4PIG|4PIH|4PIJ|4RF0|4RF1|4S1Z|4UG0|4V6X|4XKL|5AJ0|5GO7|5GO8|5GOB|5GOC|5GOD|5GOG|5GOH,,CHEMBL4523259,hsa:7311,"R-HSA-110312:Translesion synthesis by REV1|R-HSA-110314:Recognition of DNA damage by PCNA-containing replication complex|R-HSA-110320:Translesion Synthesis by POLH|R-HSA-1169091:Activation of NF-kappaB in B cells|R-HSA-1169408:ISG15 antiviral mechanism|R-HSA-1234176:Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha|R-HSA-1236382:Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants|R-HSA-1236974:ER-Phagosome pathway|R-HSA-1253288:Downregulation of ERBB4 signaling|R-HSA-1295596:Spry regulation of FGF signaling|R-HSA-1358803:Downregulation of ERBB2:ERBB3 signaling|R-HSA-156827:L13a-mediated translational silencing of Ceruloplasmin expression|R-HSA-156902:Peptide chain elongation|R-HSA-162588:Budding and maturation of HIV virion|R-HSA-168638:NOD1/2 Signaling Pathway|R-HSA-168927:TICAM1, RIP1-mediated IKK complex recruitment|R-HSA-168928:DDX58/IFIH1-mediated induction of interferon-alpha/beta|R-HSA-174048:APC/C:Cdc20 mediated degradation of Cyclin B|R-HSA-174084:Autodegradation of Cdh1 by Cdh1:APC/C|R-HSA-174113:SCF-beta-TrCP mediated degradation of Emi1",128,14728,Homo sapiens
Q9NZ09,UBAP1_HUMAN,reviewed,UBAP1,,Ubiquitin-associated protein 1,"Component of the ESCRT-I complex, a regulator of vesicular trafficking process (PubMed:21757351, PubMed:22405001, PubMed:31203368). Binds to ubiquitinated cargo proteins and is required for the sorting of endocytic ubiquitinated cargos into multivesicular bodies (MVBs) (PubMed:21757351, PubMed:22405001). Plays a role in the proteasomal degradation of ubiquitinated cell-surface proteins, such as EGFR and BST2 (PubMed:22405001, PubMed:24284069, PubMed:31203368)","Spastic paraplegia 80, autosomal dominant (SPG80)","Cytoplasm, cytosol; Endosome","Ubiquitous. Highly expressed in heart, brain, placenta, lung, liver, skeletal muscle and pancreas",,3D-structure|Alternative splicing|Cytoplasm|Disease variant|Endosome|Hereditary spastic paraplegia|Neurodegeneration|Phosphoprotein|Protein transport|Proteomics identification|Reference proteome|Repeat|Transport,UMA [17-63]|UBA 1 [389-430]|UBA 2 [451-498],,,Q9NZ09,1WGN|4AE4|5LM1,,,hsa:51271,R-HSA-162588:Budding and maturation of HIV virion|R-HSA-174490:Membrane binding and targetting of GAG proteins|R-HSA-917729:Endosomal Sorting Complex Required For Transport (ESCRT)|R-HSA-9610379:HCMV Late Events|R-HSA-9615710:Late endosomal microautophagy,502,55084,Homo sapiens
P0CG47,UBB_HUMAN,reviewed,UBB,,Polyubiquitin-B,"Exists either covalently attached to another protein, or free (unanchored). When covalently bound, it is conjugated to target proteins via an isopeptide bond either as a monomer (monoubiquitin), a polymer linked via different Lys residues of the ubiquitin (polyubiquitin chains) or a linear polymer linked via the initiator Met of the ubiquitin (linear polyubiquitin chains). Polyubiquitin chains, when attached to a target protein, have different functions depending on the Lys residue of the ubiquitin that is linked: Lys-6-linked may be involved in DNA repair; Lys-11-linked is involved in ERAD (endoplasmic reticulum-associated degradation) and in cell-cycle regulation; Lys-29-linked is involved in proteotoxic stress response and cell cycle; Lys-33-linked is involved in kinase modification; Lys-48-linked is involved in protein degradation via the proteasome; Lys-63-linked is involved in endocytosis, DNA-damage responses as well as in signaling processes leading to activation of the transcription factor NF-kappa-B. Linear polymer chains formed via attachment by the initiator Met lead to cell signaling. Ubiquitin is usually conjugated to Lys residues of target proteins, however, in rare cases, conjugation to Cys or Ser residues has been observed. When polyubiquitin is free (unanchored-polyubiquitin), it also has distinct roles, such as in activation of protein kinases, and in signaling",,Cytoplasm; Nucleus; Mitochondrion outer membrane,,,3D-structure|ADP-ribosylation|Cytoplasm|Direct protein sequencing|Isopeptide bond|Membrane|Mitochondrion|Mitochondrion outer membrane|Nucleus|Phosphoprotein|Reference proteome|Repeat|Ubl conjugation,Ubiquitin-like 1 [1-76]|Ubiquitin-like 2 [77-152]|Ubiquitin-like 3 [153-228],,,P0CG47,2KHW|2MBB|2MRO|2MSG|2N13|4UEL|4UF6|4WHV|4WLR|4WUR|4XOF|4ZFR|4ZFT|4ZPZ|4ZUX|5BNB|5CAW|5CRA|5CVM|5CVN|5CVO|5D0K|5D0M|5DFL|5DK8|5E6J|5EDV|5EMZ|5EYA|5GJQ,DB02542,CHEMBL4523178,hsa:7314,"R-HSA-110312:Translesion synthesis by REV1|R-HSA-110314:Recognition of DNA damage by PCNA-containing replication complex|R-HSA-110320:Translesion Synthesis by POLH|R-HSA-1169091:Activation of NF-kappaB in B cells|R-HSA-1169408:ISG15 antiviral mechanism|R-HSA-1234176:Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha|R-HSA-1236382:Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants|R-HSA-1236974:ER-Phagosome pathway|R-HSA-1253288:Downregulation of ERBB4 signaling|R-HSA-1295596:Spry regulation of FGF signaling|R-HSA-1358803:Downregulation of ERBB2:ERBB3 signaling|R-HSA-162588:Budding and maturation of HIV virion|R-HSA-168638:NOD1/2 Signaling Pathway|R-HSA-168927:TICAM1, RIP1-mediated IKK complex recruitment|R-HSA-168928:DDX58/IFIH1-mediated induction of interferon-alpha/beta|R-HSA-174048:APC/C:Cdc20 mediated degradation of Cyclin B|R-HSA-174084:Autodegradation of Cdh1 by Cdh1:APC/C|R-HSA-174113:SCF-beta-TrCP mediated degradation of Emi1|R-HSA-174154:APC/C:Cdc20 mediated degradation of Securin|R-HSA-174178:APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",229,25762,Homo sapiens
P0CG48,UBC_HUMAN,reviewed,UBC,,Polyubiquitin-C,"Exists either covalently attached to another protein, or free (unanchored). When covalently bound, it is conjugated to target proteins via an isopeptide bond either as a monomer (monoubiquitin), a polymer linked via different Lys residues of the ubiquitin (polyubiquitin chains) or a linear polymer linked via the initiator Met of the ubiquitin (linear polyubiquitin chains). Polyubiquitin chains, when attached to a target protein, have different functions depending on the Lys residue of the ubiquitin that is linked: Lys-6-linked may be involved in DNA repair; Lys-11-linked is involved in ERAD (endoplasmic reticulum-associated degradation) and in cell-cycle regulation; Lys-29-linked is involved in proteotoxic stress response and cell cycle; Lys-33-linked is involved in kinase modification; Lys-48-linked is involved in protein degradation via the proteasome; Lys-63-linked is involved in endocytosis, DNA-damage responses as well as in signaling processes leading to activation of the transcription factor NF-kappa-B. Linear polymer chains formed via attachment by the initiator Met lead to cell signaling. Ubiquitin is usually conjugated to Lys residues of target proteins, however, in rare cases, conjugation to Cys or Ser residues has been observed. When polyubiquitin is free (unanchored-polyubiquitin), it also has distinct roles, such as in activation of protein kinases, and in signaling. During ubiquitination, the acceptor ubiquitin is positioned in the active site via direct interaction with the E2 ubiquitin-conjugating enzymes such as UBE2R2 (PubMed:38326650). As a monoubiquitin, its C-terminal glycine is recognized as a C-degron by Cul2-RING (CRL2) E3 ubiquitin-protein ligase complexes (PubMed:39548056)",,Cytoplasm; Nucleus; Mitochondrion outer membrane,,,3D-structure|ADP-ribosylation|Cytoplasm|Direct protein sequencing|Isopeptide bond|Membrane|Mitochondrion|Mitochondrion outer membrane|Nucleus|Phosphoprotein|Reference proteome|Repeat|Ubl conjugation,Ubiquitin-like 1 [1-76]|Ubiquitin-like 2 [77-152]|Ubiquitin-like 3 [153-228]|Ubiquitin-like 4 [229-304]|Ubiquitin-like 5 [305-380]|Ubiquitin-like 6 [381-456]|Ubiquitin-like 7 [457-532]|Ubiquitin-like 8 [533-608]|Ubiquitin-like 9 [609-684],,,P0CG48,1C3T|1CMX|1D3Z|1F9J|1FXT|1G6J|1GJZ|1NBF|1OGW|1Q5W|1S1Q|1SIF|1TBE|1UBI|1UBQ|1UD7|1XD3|1XQQ|1YX5|1YX6|1ZGU|2AYO|2BGF|2DEN|2FUH|2G45|2GBJ|2GBK|2GBM|2GBN,DB04464,CHEMBL4523179,hsa:7316,"R-HSA-110312:Translesion synthesis by REV1|R-HSA-110314:Recognition of DNA damage by PCNA-containing replication complex|R-HSA-110320:Translesion Synthesis by POLH|R-HSA-1169091:Activation of NF-kappaB in B cells|R-HSA-1169408:ISG15 antiviral mechanism|R-HSA-1234176:Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha|R-HSA-1236382:Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants|R-HSA-1236974:ER-Phagosome pathway|R-HSA-1253288:Downregulation of ERBB4 signaling|R-HSA-1295596:Spry regulation of FGF signaling|R-HSA-1358803:Downregulation of ERBB2:ERBB3 signaling|R-HSA-162588:Budding and maturation of HIV virion|R-HSA-168638:NOD1/2 Signaling Pathway|R-HSA-168927:TICAM1, RIP1-mediated IKK complex recruitment|R-HSA-168928:DDX58/IFIH1-mediated induction of interferon-alpha/beta|R-HSA-174048:APC/C:Cdc20 mediated degradation of Cyclin B|R-HSA-174084:Autodegradation of Cdh1 by Cdh1:APC/C|R-HSA-174113:SCF-beta-TrCP mediated degradation of Emi1|R-HSA-174154:APC/C:Cdc20 mediated degradation of Securin|R-HSA-174178:APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",685,77039,Homo sapiens
P62837,UB2D2_HUMAN,reviewed,UBE2D2,PUBC1|UBC4|UBC5B|UBCH4|UBCH5B,Ubiquitin-conjugating enzyme E2 D2,"Accepts ubiquitin from the E1 complex and catalyzes its covalent attachment to other proteins (PubMed:10329681, PubMed:18042044, PubMed:18703417, PubMed:20061386, PubMed:20403326, PubMed:20525694, PubMed:26475854, PubMed:28322253). Catalyzes 'Lys-48'-linked polyubiquitination (PubMed:10329681, PubMed:18042044, PubMed:18359941, PubMed:18703417, PubMed:20061386, PubMed:20403326, PubMed:20525694, PubMed:26475854). Mediates the selective degradation of short-lived and abnormal proteins (PubMed:10329681, PubMed:18042044, PubMed:18359941, PubMed:18703417, PubMed:20061386, PubMed:20403326, PubMed:20525694, PubMed:26475854). Functions in the E6/E6-AP-induced ubiquitination of p53/TP53 (PubMed:15280377). Mediates ubiquitination of PEX5 and SQSTM1 and autoubiquitination of STUB1 and TRAF6 (PubMed:18359941, PubMed:28322253). Involved in the signal-induced conjugation and subsequent degradation of NFKBIA, FBXW2-mediated GCM1 ubiquitination and degradation, MDM2-dependent degradation of p53/TP53 and the activation of MAVS in the mitochondria by RIGI in response to viral infection (PubMed:18703417, PubMed:20403326). Essential for viral activation of IRF3 (PubMed:19854139)",,,,Protein modification; protein ubiquitination,3D-structure|Alternative splicing|ATP-binding|Direct protein sequencing|Nucleotide-binding|Proteomics identification|Reference proteome|Transferase|Ubl conjugation pathway,UBC core [1-147],,Glycyl thioester intermediate [85-85],P62837,1UR6|1W4U|2CLW|2ESK|2ESO|2ESP|2ESQ|3A33|3JVZ|3JW0|3L1Y|3TGD|3ZNI|4A49|4A4B|4A4C|4AUQ|4DDG|4DDI|4LDT|4V3K|4V3L|4WZ3|5D0K|5D0M|5D1K|5D1L|5D1M|5EDV|5MNJ,DB02418,CHEMBL4105990,hsa:7322,"R-HSA-1234176:Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha|R-HSA-168927:TICAM1, RIP1-mediated IKK complex recruitment|R-HSA-202424:Downstream TCR signaling|R-HSA-2871837:FCERI mediated NF-kB activation|R-HSA-5205685:PINK1-PRKN Mediated Mitophagy|R-HSA-5357905:Regulation of TNFR1 signaling|R-HSA-5607764:CLEC7A (Dectin-1) signaling|R-HSA-8866652:Synthesis of active ubiquitin: roles of E1 and E2 enzymes|R-HSA-8866654:E3 ubiquitin ligases ubiquitinate target proteins|R-HSA-8951664:Neddylation|R-HSA-9033241:Peroxisomal protein import|R-HSA-936440:Negative regulators of DDX58/IFIH1 signaling|R-HSA-937041:IKK complex recruitment mediated by RIP1|R-HSA-9705462:Inactivation of CSF3 (G-CSF) signaling|R-HSA-983168:Antigen processing: Ubiquitination & Proteasome degradation",147,16735,Homo sapiens
Q9Y385,UB2J1_HUMAN,reviewed,UBE2J1,NCUBE1,Ubiquitin-conjugating enzyme E2 J1,(Microbial infection) Promotes Dengue virus RNA replication by negatively regulating IFN-beta signaling and mediating 'Lys-48'-linked ubiquitination on IRF3 (PubMed:30157886),,Endoplasmic reticulum membrane,Expressed in testes,Protein modification; protein ubiquitination,ATP-binding|Endoplasmic reticulum|Membrane|Nucleotide-binding|Phosphoprotein|Proteomics identification|Reference proteome|Transferase|Transmembrane|Transmembrane helix|Ubl conjugation|Ubl conjugation pathway,UBC core [10-160],,Glycyl thioester intermediate [91-91],Q9Y385,,,,hsa:51465,R-HSA-983168:Antigen processing: Ubiquitination & Proteasome degradation,318,35199,Homo sapiens
